Код,Возраст,Пол,Состоит в браке,Иждивенцы,Доход,Опыт работы,Срок проживания,Недвижимость,Месячный платеж,Число просрочек более 60 дн.
512,32,мужской,Нет,0,9500,12,8,0,4715,1
513,36,женский,Нет,1,10500,9,15,0,2118,1
514,36,мужской,Да,3,8500,19,18,0,3895,4
515,40,мужской,Нет,4,14200,21,35,0,6048,3
516,37,женский,Да,1,11000,8,10,0,6355,4
517,36,мужской,Нет,2,10000,18,35,33,3792,4
518,37,женский,Нет,2,15800,9,10,0,5535,2
519,28,мужской,Да,0,13500,10,7,45,4100,0
520,55,мужской,Да,0,27500,9,32,5,3690,0
521,34,мужской,Да,1,7500,5,7,0,5432,1
522,38,мужской,Да,1,15700,9,7,0,2870,0
523,47,женский,Нет,4,11500,20,9,26,6150,2
524,40,мужской,Да,1,18000,21,8,27,4202,0
525,29,мужской,Да,1,26500,11,28,0,3417,0
526,51,мужской,Нет,0,7000,8,20,0,5125,2
527,51,мужской,Да,0,12500,8,5,0,3998,0
528,36,женский,Да,0,32000,17,32,39,2562,0
529,30,мужской,Да,1,10500,12,3,0,4442,3
530,28,мужской,Да,2,3000,9,2,33,1708,4
531,50,мужской,Да,3,32500,21,2,0,6150,0
532,31,мужской,Нет,2,5500,5,3,0,2528,1
533,34,женский,Нет,1,11500,17,7,0,1948,0
534,45,мужской,Да,0,4000,4,44,36,3827,5
535,56,мужской,Нет,0,16800,31,50,38,2614,0
536,30,мужской,Да,0,23500,9,8,0,3382,0
537,36,мужской,Да,1,21500,19,5,25,5022,0
538,24,женский,Нет,1,6500,6,2,83,2870,4
539,24,мужской,Да,0,14500,6,12,0,1948,0
540,40,женский,Да,4,8000,13,5,0,3178,5
541,38,мужской,Да,0,13000,18,18,61,6252,2
542,58,женский,Да,1,9500,27,36,41,2306,2
543,23,мужской,Да,3,7500,5,17,0,4612,5
544,34,мужской,Да,1,11500,17,3,0,2716,0
545,33,мужской,Да,1,5600,2,3,26,2323,1
546,33,женский,Нет,2,13000,6,2,36,3792,2
547,36,мужской,Да,1,14000,10,30,0,5228,0
548,31,мужской,Да,1,13000,13,21,37,4442,0
549,27,женский,Да,0,7500,4,2,0,3553,2
550,40,мужской,Да,1,14500,16,23,43,4305,0
551,25,мужской,Нет,2,11000,7,8,0,2870,1
552,38,мужской,Да,1,8500,17,7,0,3895,6
553,34,женский,Да,1,14500,16,6,37,7175,2
554,35,мужской,Нет,1,4500,16,33,0,2972,3
555,40,мужской,Да,1,10500,17,6,0,3998,2
556,34,мужской,Да,0,15500,16,2,36,1691,0
557,34,мужской,Да,2,23900,16,11,46,4818,0
558,22,женский,Нет,0,13500,4,20,0,3553,0
559,34,мужской,Да,2,10500,16,2,36,2306,0
560,40,мужской,Да,2,12000,23,7,0,3998,5
561,23,мужской,Да,0,14500,5,23,0,5432,0
562,39,женский,Да,1,34500,14,3,0,5638,0
563,32,женский,Да,1,7000,13,24,38,2460,4
564,36,мужской,Нет,2,6500,18,18,0,6048,5
565,34,женский,Нет,2,5500,17,5,0,2460,2
566,52,женский,Нет,0,16900,26,23,0,6048,0
567,26,мужской,Да,2,3800,8,6,0,6970,3
568,35,мужской,Да,0,5200,18,4,41,1982,4
569,32,мужской,Да,0,22500,10,18,0,1025,0
570,37,мужской,Да,1,8500,20,2,42,3075,0
571,38,мужской,Нет,3,11500,18,35,0,2597,3
572,34,мужской,Да,0,7500,13,8,36,4408,4
573,24,мужской,Да,0,11000,6,17,33,2460,0
574,39,мужской,Да,2,15500,14,2,0,3143,0
575,43,мужской,Да,1,33700,21,31,0,5125,0
576,32,мужской,Нет,0,11500,14,4,8,6355,0
577,24,мужской,Нет,1,11000,6,18,30,6662,5
578,40,женский,Да,1,27500,9,34,0,3690,0
579,40,женский,Да,2,14000,10,2,0,7995,3
580,29,женский,Нет,0,15500,9,12,40,1896,0
581,36,женский,Да,1,4900,18,35,0,2050,2
582,47,женский,Да,1,4300,3,3,0,2409,3
583,34,мужской,Да,4,34500,16,18,0,3485,0
584,28,мужской,Нет,2,15500,10,19,23,6662,5
585,31,мужской,Да,1,14000,13,5,31,2733,0
586,26,мужской,Нет,1,6000,8,8,0,5945,4
587,35,женский,Да,1,4500,8,29,0,1794,5
588,24,мужской,Да,1,13500,6,6,0,1794,0
589,32,мужской,Да,2,10500,14,16,0,6150,3
590,24,мужской,Нет,0,6100,6,24,38,3280,2
591,30,женский,Да,1,11500,11,11,0,3639,0
592,39,мужской,Нет,0,11000,11,6,0,6150,0
593,40,женский,Да,4,7500,14,26,0,2716,5
594,28,мужской,Нет,1,16000,10,5,43,6662,0
595,30,мужской,Нет,1,12300,12,22,25,2870,0
596,26,мужской,Нет,1,6500,8,14,0,1281,0
597,28,мужской,Да,1,36200,10,7,26,2204,0
598,30,мужской,Да,0,6700,10,5,24,2562,4
599,32,мужской,Да,1,15000,14,16,22,2733,0
600,27,женский,Да,0,9500,9,3,30,2733,0
601,26,женский,Да,1,14000,8,4,0,4612,3
602,39,мужской,Нет,1,8500,17,10,0,2460,2
603,32,мужской,Нет,0,10000,14,9,0,7175,6
604,32,мужской,Да,0,17500,14,5,0,1538,0
605,22,мужской,Да,1,30500,4,21,30,5125,0
606,39,мужской,Да,0,7000,18,3,0,3639,3
607,39,женский,Нет,0,10000,20,9,40,1845,0
608,39,женский,Нет,0,3400,17,26,0,6252,3
609,32,мужской,Да,0,10500,14,32,0,2460,0
610,33,мужской,Да,0,17500,8,2,0,5945,0
611,28,мужской,Да,1,8800,10,13,0,1794,0
612,38,мужской,Нет,1,29500,10,35,0,3382,0
613,33,мужской,Да,0,15500,14,10,0,2392,0
614,31,женский,Да,0,9000,10,17,43,5945,2
615,25,мужской,Нет,0,10000,7,3,0,6662,1
616,37,мужской,Да,0,6500,10,4,0,3588,6
617,32,женский,Нет,1,10000,6,16,0,4373,4
618,34,мужской,Да,1,11000,14,2,0,7380,6
619,37,женский,Нет,2,24000,6,5,0,4408,0
620,55,женский,Нет,0,21100,20,31,8,5432,0
621,28,женский,Да,1,37300,10,22,0,3024,0
622,29,мужской,Да,2,12500,5,15,0,1794,3
623,38,мужской,Да,3,10000,18,7,0,4168,3
624,31,мужской,Да,4,6200,6,28,0,4100,2
625,50,женский,Да,0,11000,6,29,32,7072,0
626,40,мужской,Да,0,11500,10,8,36,6355,5
627,31,мужской,Да,1,20800,9,30,0,4032,0
628,50,женский,Да,1,15500,18,13,0,3758,0
629,31,мужской,Да,1,8500,10,8,50,3485,2
630,39,женский,Да,1,13700,19,10,44,2870,0
631,23,женский,Да,2,5400,5,19,0,5193,4
632,55,мужской,Нет,0,4500,8,50,0,2716,3
633,22,мужской,Да,1,15500,4,21,0,1845,0
634,34,женский,Да,1,9500,17,19,33,4100,4
635,35,мужской,Да,1,14000,13,3,0,6970,2
636,22,мужской,Да,0,10500,4,14,29,6150,3
637,29,мужской,Да,0,11800,6,3,29,5638,0
638,38,мужской,Нет,2,10000,10,30,0,4715,3
639,34,мужской,Да,2,9700,11,15,0,3280,2
640,40,мужской,Нет,0,8500,17,10,25,1982,0
641,38,мужской,Нет,2,5100,18,13,37,4783,3
642,28,мужской,Нет,1,10000,10,18,11,1982,0
643,37,мужской,Нет,1,31000,18,37,0,5535,0
644,55,мужской,Нет,0,15500,29,36,0,7482,0
645,29,мужской,Нет,4,14000,11,6,0,3792,3
646,38,женский,Нет,1,10000,17,4,0,1025,0
647,32,мужской,Да,0,26500,14,4,0,4988,0
648,35,женский,Да,0,7000,17,30,41,4100,4
649,37,мужской,Нет,2,11000,11,3,0,9532,4
650,38,женский,Да,2,16500,17,27,29,2665,1
651,38,женский,Да,1,6200,19,2,0,2665,3
652,37,мужской,Нет,0,8000,19,5,0,6458,2
653,35,мужской,Да,1,22900,18,18,0,6662,0
654,40,женский,Да,1,5400,14,17,0,4100,2
655,36,женский,Да,2,28000,18,6,0,4920,0
656,34,женский,Да,1,34000,17,14,0,6662,0
657,28,женский,Нет,2,5000,10,7,12,4202,3
658,30,женский,Да,1,9500,12,16,0,6048,2
659,56,мужской,Нет,1,6500,20,4,44,2870,2
660,33,мужской,Нет,1,5000,15,7,0,4202,4
661,29,мужской,Да,0,9500,11,3,67,6970,5
662,36,женский,Да,2,10000,18,29,0,3485,6
663,34,мужской,Да,1,6000,17,5,0,5262,5
664,38,женский,Нет,1,5500,16,35,0,3348,6
665,40,мужской,Да,2,11000,19,13,29,2101,4
666,53,мужской,Нет,0,17300,23,37,36,974,0
667,40,мужской,Нет,0,33000,7,40,0,4100,0
668,37,мужской,Нет,1,7900,16,18,3,6970,4
669,31,женский,Да,0,9000,5,4,56,5535,2
670,30,мужской,Нет,1,17000,12,8,0,5638,0
671,32,мужской,Да,0,15500,11,5,0,5330,0
672,37,мужской,Нет,2,19500,18,31,43,3024,0
673,31,женский,Нет,0,11000,13,25,33,5740,0
674,34,женский,Нет,0,11500,14,26,0,4818,4
675,38,женский,Да,0,10500,18,11,9,4510,0
676,36,женский,Нет,1,9000,16,9,0,7482,4
677,33,женский,Да,2,4000,15,15,0,3382,2
678,39,женский,Да,0,7200,20,37,0,1640,0
679,38,мужской,Да,1,12000,10,33,0,3588,0
680,24,мужской,Нет,0,24000,5,11,0,3622,0
681,27,мужской,Да,0,11000,9,7,0,6252,0
682,37,мужской,Нет,2,7500,18,4,7,5740,1
683,54,мужской,Да,0,13000,25,28,0,3280,0
684,37,женский,Да,2,11100,19,3,0,5432,6
685,49,мужской,Нет,1,7500,27,3,37,6355,4
686,34,мужской,Нет,0,11000,16,2,41,1896,0
687,39,мужской,Да,0,10500,17,7,36,3690,0
688,39,женский,Нет,1,7500,10,15,0,4920,5
689,39,мужской,Нет,4,8000,17,15,27,6252,2
690,49,мужской,Нет,0,17000,17,3,0,6868,0
691,30,мужской,Нет,1,10000,12,13,36,2938,0
692,36,женский,Да,2,3800,10,6,40,1896,4
693,35,женский,Нет,1,9000,4,4,0,3588,1
694,34,мужской,Нет,0,6200,17,32,38,4408,1
695,36,женский,Да,0,9000,16,5,0,4510,0
696,35,женский,Нет,1,11500,2,4,0,4442,6
697,38,мужской,Нет,2,17300,5,2,0,2733,0
698,35,мужской,Да,1,31000,17,31,36,5022,0
699,28,женский,Нет,2,29300,9,5,35,2768,0
700,36,мужской,Да,2,12100,17,5,34,3963,0
701,28,мужской,Нет,2,8500,10,17,0,7072,6
702,38,мужской,Да,0,15000,17,24,13,5022,0
703,53,мужской,Нет,0,10800,17,4,41,7995,4
704,30,женский,Да,0,23500,11,8,21,1589,0
705,27,женский,Да,2,12000,9,7,0,2768,5
706,36,мужской,Нет,2,12500,5,8,36,1845,0
707,34,женский,Да,0,14600,16,10,0,2152,0
708,38,женский,Да,0,12500,17,2,33,2511,0
709,39,женский,Нет,2,27500,5,38,0,2460,0
710,47,мужской,Нет,2,6500,11,3,0,2870,2
711,27,мужской,Нет,1,12500,9,23,33,5398,4
712,37,женский,Да,0,12600,12,5,0,4988,0
713,31,женский,Да,0,12500,13,5,25,8098,5
714,48,мужской,Нет,2,24000,10,31,0,1384,0
715,33,женский,Нет,2,12000,15,3,40,4510,2
716,38,женский,Да,1,8500,11,4,32,410,0
717,55,женский,Да,2,30900,14,3,33,2306,0
718,35,мужской,Да,2,5000,17,17,39,3485,3
719,36,мужской,Да,1,16000,18,31,79,3553,2
720,45,женский,Да,2,20500,23,3,0,5125,4
721,40,женский,Нет,1,14000,10,8,0,5228,0
722,32,мужской,Нет,1,10000,14,32,39,2152,0
723,40,мужской,Да,2,15500,19,10,0,6662,6
724,38,мужской,Нет,0,13500,19,2,0,3690,0
725,39,мужской,Нет,1,14000,22,4,0,7175,4
726,30,женский,Нет,1,10500,12,5,0,3348,3
727,29,мужской,Да,2,25400,11,8,79,7175,0
728,26,мужской,Да,0,17000,8,21,0,2255,0
729,40,мужской,Нет,2,9000,2,2,0,1845,3
730,40,мужской,Да,0,13500,8,6,0,4612,0
731,37,мужской,Нет,0,27000,6,13,0,2306,0
732,25,мужской,Нет,1,16000,7,9,0,2118,0
733,28,мужской,Нет,4,7000,10,27,0,3178,2
734,39,мужской,Нет,1,13900,11,21,0,4202,4
735,38,мужской,Да,2,12000,16,4,36,4510,0
736,23,мужской,Да,0,8500,5,2,0,2050,6
737,32,мужской,Да,1,6500,14,8,0,3212,2
738,36,женский,Да,1,11000,18,3,33,4852,3
739,25,мужской,Нет,1,16000,6,11,0,6868,0
740,54,мужской,Нет,0,15100,23,5,0,4100,0
741,26,мужской,Да,1,8500,8,3,0,5432,4
742,28,женский,Да,1,13500,10,9,39,1896,0
743,36,мужской,Нет,1,7200,12,3,0,4237,5
744,38,женский,Да,1,4500,13,13,0,2101,5
745,34,мужской,Нет,1,7300,14,2,0,5330,3
746,40,женский,Да,2,5500,19,18,4,3844,5
747,37,женский,Да,1,15000,7,4,0,2870,2
748,37,мужской,Да,1,7500,11,36,0,4612,6
749,54,мужской,Нет,0,27500,22,2,0,1162,0
750,38,женский,Да,1,14000,5,14,28,6355,0
751,39,женский,Нет,2,15000,20,19,0,4305,0
752,28,мужской,Нет,0,11500,10,9,0,4442,0
753,26,мужской,Да,0,13800,8,20,27,5638,0
754,39,мужской,Нет,1,27100,21,13,0,5228,0
755,30,мужской,Да,2,13500,12,3,32,2819,0
756,37,женский,Да,2,23300,2,34,0,5330,0
757,36,мужской,Да,0,10600,17,17,27,3690,0
758,39,мужской,Нет,1,12500,15,7,0,6252,0
759,35,мужской,Нет,2,8000,17,24,0,3075,2
760,42,женский,Да,1,3200,12,6,28,3280,2
761,28,мужской,Да,0,6900,10,27,41,3998,6
762,37,мужской,Нет,1,20000,11,8,0,3024,0
763,51,женский,Да,1,17000,5,33,31,7278,0
764,33,женский,Нет,2,20500,15,21,37,1025,0
765,46,мужской,Да,0,4500,27,2,34,1845,5
766,40,мужской,Нет,1,14500,17,6,33,1076,0
767,35,женский,Нет,1,10500,18,8,0,3998,1
768,38,мужской,Да,3,6500,20,37,0,3075,5
769,58,женский,Да,2,13200,20,2,10,1845,6
770,40,мужской,Да,2,11000,11,3,0,3485,4
771,38,мужской,Нет,2,9700,14,25,0,3007,5
772,26,женский,Нет,1,15500,4,2,0,1845,0
773,26,мужской,Да,0,14200,8,20,27,5432,0
774,31,мужской,Нет,0,26500,13,4,34,3075,0
775,40,мужской,Нет,2,12500,13,6,0,5945,6
776,30,женский,Да,3,12400,12,2,0,2306,3
777,38,женский,Да,2,32000,20,4,0,2972,0
778,30,женский,Нет,0,5500,12,11,33,3553,3
779,37,женский,Да,2,26500,4,26,29,2716,0
780,23,мужской,Да,1,7500,5,17,39,6355,4
781,34,мужской,Да,2,26300,17,3,33,4510,0
782,37,женский,Нет,0,8000,18,2,0,4510,1
783,29,мужской,Да,0,7500,10,6,31,4818,4
784,28,женский,Нет,0,11500,10,18,84,7482,5
785,36,женский,Нет,0,17500,9,3,27,4305,0
786,34,мужской,Да,1,7500,17,2,0,3075,6
787,36,мужской,Нет,2,11500,10,3,19,4612,4
788,38,мужской,Да,2,18500,20,3,31,4818,0
789,26,женский,Да,0,10500,8,7,0,4100,2
790,25,мужской,Нет,0,3200,5,4,24,6252,2
791,51,мужской,Да,0,8200,14,27,36,3588,0
792,30,мужской,Да,2,6000,11,13,0,3417,2
793,32,мужской,Да,0,14300,9,7,40,2050,0
794,24,женский,Да,0,7500,6,20,35,3690,2
795,26,женский,Да,3,8500,8,5,0,3178,6
796,35,мужской,Да,1,3800,16,4,39,5125,6
797,36,женский,Да,0,13600,17,2,0,3553,0
798,29,мужской,Да,1,2500,11,6,0,2716,3
799,38,женский,Нет,2,20000,15,4,0,6150,0
800,30,женский,Да,0,7500,12,23,39,2255,0
801,55,мужской,Нет,1,13700,8,21,27,1794,0
802,28,женский,Нет,1,5200,10,3,25,4920,3
803,30,мужской,Да,0,10500,12,3,36,3434,0
804,39,женский,Да,0,23500,9,4,0,5672,0
805,37,мужской,Нет,1,14000,6,3,0,3792,0
806,53,женский,Нет,1,4000,27,39,0,2938,4
807,38,женский,Нет,0,8000,18,26,0,2460,3
808,40,женский,Нет,0,3000,9,3,0,3895,5
809,26,мужской,Нет,3,10500,8,2,34,1435,3
810,34,женский,Нет,2,27500,16,33,41,2460,0
811,29,женский,Нет,0,11000,11,14,0,3622,0
812,42,мужской,Да,4,10600,22,23,33,3075,4
813,30,мужской,Да,0,23000,12,8,30,6458,0
814,26,женский,Да,2,12500,8,24,0,2802,5
815,34,мужской,Нет,2,5000,16,4,0,2152,5
816,38,женский,Да,2,16500,16,5,30,6458,1
817,29,мужской,Нет,1,10000,7,9,10,3212,4
818,36,мужской,Да,1,12000,18,33,0,5842,5
819,35,мужской,Да,2,8500,17,3,0,1538,5
820,34,мужской,Да,1,7500,17,5,33,4920,2
821,34,мужской,Да,0,17300,16,13,0,2665,0
822,40,мужской,Нет,1,4700,22,36,56,1845,2
823,22,женский,Нет,0,13000,4,5,54,3417,0
824,38,женский,Да,0,12000,20,20,41,3998,0
825,40,женский,Да,0,9200,22,37,30,1093,0
826,28,мужской,Нет,1,6500,10,8,0,3690,1
827,25,мужской,Нет,2,9000,7,22,0,3075,5
828,36,женский,Да,0,8900,18,19,0,1777,6
829,26,женский,Да,0,3800,3,3,39,3998,4
830,26,мужской,Нет,2,8700,8,5,0,5022,1
831,36,женский,Да,2,8500,6,19,0,2870,5
832,36,мужской,Да,0,21500,17,18,0,4100,0
833,35,мужской,Нет,1,7000,16,5,36,4168,1
834,25,мужской,Да,0,10500,7,2,0,4920,0
835,27,женский,Да,0,26500,9,2,35,7175,0
836,28,мужской,Да,1,8500,10,5,33,2870,6
837,33,женский,Да,0,18700,15,28,0,2870,0
838,34,женский,Нет,2,3200,15,34,36,4852,3
839,36,мужской,Да,2,8000,12,28,0,5022,6
840,37,мужской,Да,1,7500,14,22,0,5842,1
841,40,женский,Да,3,12000,11,32,3,6662,6
842,34,мужской,Да,1,14200,16,29,34,3348,0
843,24,мужской,Да,0,12500,6,13,0,5125,6
844,29,мужской,Да,1,15500,11,15,39,2665,0
845,36,женский,Да,2,14000,13,32,32,4510,5
846,39,мужской,Нет,2,25900,3,7,31,3212,0
847,40,мужской,Да,1,4100,20,22,0,2255,2
848,37,мужской,Да,1,27200,11,4,0,2255,0
849,39,женский,Да,1,10500,6,2,0,7482,5
850,36,мужской,Да,0,11500,10,2,4,3280,0
851,38,женский,Нет,0,32500,8,6,0,2768,0
852,25,мужской,Да,1,34500,7,16,69,6355,0
853,34,мужской,Да,3,7500,16,6,0,6458,6
854,35,мужской,Да,0,15500,17,32,0,3143,0
855,37,мужской,Нет,3,14000,7,17,23,4305,4
856,23,мужской,Да,2,32000,5,7,0,3075,0
857,39,мужской,Да,1,17000,20,3,0,6765,6
858,38,мужской,Да,2,12000,19,19,0,2870,3
859,50,мужской,Да,1,12800,29,29,0,1845,0
860,34,мужской,Нет,2,31500,16,5,36,2358,0
861,33,мужской,Да,1,9000,15,2,0,3792,3
862,40,женский,Нет,1,30000,21,39,36,4715,0
863,39,мужской,Нет,0,13000,21,3,12,8918,3
864,28,мужской,Да,2,8000,10,7,0,3690,5
865,52,мужской,Да,0,10500,33,40,28,3588,0
866,31,мужской,Да,1,5900,13,7,0,3485,2
867,40,женский,Да,0,10000,20,8,0,6252,6
868,29,женский,Да,1,38400,9,22,0,5603,0
869,32,мужской,Да,1,8500,14,3,29,2358,1
870,32,женский,Да,1,12200,7,3,0,2665,6
871,27,мужской,Да,0,11000,9,6,0,4100,2
872,33,женский,Да,1,9500,13,30,0,5330,4
873,33,мужской,Нет,3,8000,13,5,39,6048,3
874,30,мужской,Да,2,34500,4,23,0,2392,0
875,33,мужской,Нет,1,11500,15,26,40,2511,0
876,31,мужской,Нет,1,15000,11,5,40,2101,0
877,32,женский,Нет,2,12300,12,2,0,8200,2
878,28,женский,Нет,1,15000,3,13,0,922,0
879,29,женский,Да,2,10000,11,13,0,4305,2
880,24,мужской,Нет,2,5500,6,10,0,2921,3
881,31,мужской,Да,2,7500,13,26,30,3382,5
882,36,женский,Нет,0,28000,18,2,32,3895,0
883,26,мужской,Нет,1,6000,8,2,36,4032,2
884,35,мужской,Нет,2,17700,16,5,35,6458,2
885,39,мужской,Нет,1,16500,8,35,0,7175,0
886,26,мужской,Да,0,16000,8,15,27,6868,0
887,35,мужской,Да,1,14000,16,14,0,2460,5
888,40,женский,Да,0,6500,16,2,0,3622,3
889,37,мужской,Нет,0,9500,16,7,33,5125,0
890,34,мужской,Нет,2,13200,17,24,78,3963,3
891,28,мужской,Да,1,12000,10,26,31,4715,6
892,36,мужской,Нет,0,14000,10,4,0,4305,0
893,33,женский,Да,2,10000,12,5,0,4254,1
894,36,женский,Да,0,15000,18,17,32,3485,0
895,47,женский,Да,1,13000,20,3,0,3007,5
896,38,мужской,Нет,2,34000,11,13,0,7175,0
897,36,женский,Да,2,13900,16,16,27,6048,4
898,31,мужской,Нет,1,23500,13,29,36,6150,0
899,39,женский,Нет,3,11700,10,14,0,3963,4
900,35,женский,Нет,1,7000,12,11,0,2819,5
901,39,мужской,Да,2,9500,17,8,32,2768,3
902,22,мужской,Да,2,14000,4,4,0,4168,5
903,40,женский,Нет,1,9000,18,23,32,5535,4
904,35,мужской,Нет,0,9500,16,7,0,2118,0
905,27,мужской,Нет,1,7500,9,3,0,3280,3
906,32,мужской,Да,2,15500,10,8,0,6662,3
907,35,женский,Да,1,12500,18,19,44,5945,4
908,40,мужской,Нет,4,5000,14,5,36,3895,1
909,28,женский,Да,1,6000,10,6,0,1332,3
910,31,мужской,Да,2,15300,13,2,0,2768,4
911,33,мужской,Нет,0,11000,8,4,37,4612,0
912,34,женский,Да,1,7300,12,8,39,1076,6
913,23,женский,Да,0,5000,5,5,0,2972,2
914,58,мужской,Да,1,19500,14,43,33,5432,0
915,36,мужской,Нет,4,6500,4,32,0,2768,4
916,44,мужской,Да,1,13000,13,23,0,7892,5
917,29,женский,Да,1,2500,12,2,32,1777,4
918,34,мужской,Да,0,9000,17,4,33,4715,1
919,39,мужской,Да,1,8800,12,34,0,4100,4
920,29,женский,Да,1,30500,7,26,32,4168,0
921,38,мужской,Нет,0,13500,17,13,10,5740,0
922,38,женский,Да,1,9000,15,2,0,3229,5
923,38,женский,Нет,2,12000,20,12,31,4818,2
924,38,мужской,Да,3,27900,2,2,9,3382,0
925,40,мужской,Нет,1,27500,18,24,0,3622,0
926,32,женский,Нет,1,5500,12,26,39,1948,5
927,23,женский,Да,1,9800,5,12,32,3229,3
928,36,мужской,Нет,2,21500,19,12,39,3024,0
929,36,женский,Нет,1,12000,18,24,25,5740,4
930,45,женский,Да,3,8500,13,6,0,5945,3
931,25,женский,Нет,0,10000,7,3,13,6048,1
932,35,женский,Да,1,15000,6,8,22,1538,0
933,33,мужской,Да,2,14900,15,33,0,5022,2
934,22,мужской,Да,0,15500,4,16,0,5740,0
935,36,женский,Да,1,9000,19,6,0,6252,4
936,40,мужской,Да,0,6000,21,21,27,2050,1
937,59,женский,Нет,1,10500,27,16,0,3143,2
938,54,мужской,Нет,0,22700,12,9,37,3178,0
939,26,мужской,Нет,1,30300,8,17,0,3485,0
940,24,женский,Да,2,16500,6,6,0,7072,4
941,32,женский,Да,2,30000,5,27,0,5228,0
942,39,мужской,Нет,0,14000,11,2,36,3178,0
943,57,мужской,Да,0,38700,13,3,0,4305,0
944,43,мужской,Нет,2,12000,17,31,12,6458,5
945,24,женский,Да,2,5200,4,24,0,3178,4
946,42,мужской,Нет,0,10500,20,7,0,3485,0
947,38,женский,Да,1,10800,12,16,27,4647,2
948,38,женский,Нет,3,21000,19,30,35,6150,4
949,35,мужской,Да,1,11000,7,33,0,6765,2
950,37,мужской,Нет,2,9000,16,4,41,3553,6
951,36,женский,Да,2,9000,17,8,39,2665,3
952,34,мужской,Да,3,8600,17,8,39,5125,6
953,36,мужской,Да,0,6900,12,5,0,2870,3
954,38,женский,Да,0,16500,12,26,30,3382,0
955,32,женский,Да,1,19500,14,4,41,2101,0
956,31,женский,Нет,4,10200,12,3,0,3588,6
957,38,мужской,Нет,1,11500,20,5,0,3348,3
958,40,женский,Нет,1,15400,21,4,33,3212,0
959,24,женский,Да,0,34500,6,12,36,2511,0
960,38,мужской,Нет,1,11000,20,13,10,4100,3
961,30,мужской,Нет,0,7500,10,22,36,6970,3
962,33,мужской,Нет,0,32000,15,17,0,7278,0
963,33,женский,Нет,2,7000,15,29,50,3622,5
964,40,мужской,Нет,1,10500,18,27,0,3690,4
965,40,мужской,Да,0,8000,15,8,0,4237,3
966,35,мужской,Да,0,20100,8,3,0,6662,0
967,40,мужской,Нет,2,35000,4,7,33,3007,0
968,38,мужской,Нет,0,13200,21,37,7,10250,6
969,47,мужской,Да,1,13000,23,2,0,3485,2
,,,,,,,,,,
